"sys_created_on","number","short_description","description","u_error_symptoms","tags"
"2025-02-05 13:45:21","INC41404129","IRIS (Integrated Rx Information System)  : Information request to find out msids of users in prerx who matched drug to rx 454887500 and rx 456527470. Same issue that Sunil figured out how to find who matched the drug in prerx as INC37254742. route to","Information request to find out msids of users in prerx who matched drug to rx 454887500 and rx 456527470. Same issue that Sunil figured out how to find who matched the drug in prerx as INC37254742. route to MSA ORACLE EBS (RXS) – SPT","Information request to find out msids of users in prerx who matched drug to rx 454887500 and rx 456527470. Same issue that Sunil figured out how to find who matched the drug in prerx as INC37254742. route to MSA ORACLE EBS (RXS) – SPT","User Request"
"2025-02-05 13:56:58","INC41404414","IRIS (Integrated Rx Information System) - Unable to Login","Umm I am calling because umm Iris is asking me for a new password. I have entered like 10 different ones and all of them are saying error.","Unable to Login","Password, User Login"
"2025-02-05 14:10:59","INC41404854","IRIS login issue","having a hard time w/password will not allow to log in","","User Login"
"2025-02-05 14:21:52","INC41405256","IRIS (Integrated Rx Information System) - Unable to Login","requesting to reset password on irish ","need to reset password on iris","Password, User Login"
"2025-02-05 14:27:31","INC41405470","IRIS - password reset for  IRIS ","I need help resetting my IRIS pw"," password reset for  IRIS ","Password"
"2025-02-05 14:27:36","INC41405472","Symantec Management Agent - Appstore request - Stuck on the ""Installing Process""","User is trying to request for Adobe InDesign since last January 27","Appstore request - Stuck on the ""Installing Process""","?"
"2025-02-05 14:52:49","INC41405997","IRIS password reset. ","IRIS password reset. ","","Password"
"2025-02-05 14:56:24","INC41406407","Image viewer is not opening in TS02 Iris","Image viewer is not opening in TS02 Iris  Product entered by customer: NON-Prod Iris TS02 environment","Image viewer is not opening in TS02 Iris","Image Viewer"
"2025-02-05 15:40:54","INC41407899","SA - Order Open in IRIS","Please close the below order as it has tracking movement.  Tracking Number: 1ZC6R5140306366436 Order Number: 778979886-1  Product entered by customer: ","","Order Issue"
"2025-02-05 15:52:43","INC41408355","RG - Orders Open in IRIS","Assign the ticket to @ORx_Dispensing_IT_Support orders  778824545-1 and   779232611-1 shipped with error-please close","","Order Issue"
"2025-02-05 15:52:44","INC41408356"," IRIS TS02 environment, unable to add CCG Card through EBC","Please assign to ""IRIS-Pharmacy Central Non Prod"" ServiceNow Group, in IRIS TS02 environment, unable to add CCG Card through EBC. I have attempted to add a CCG Card with Email, Text, and On-Screen options, but the credit card is not added onto the patient's Accounting OAF Page.  Product entered by customer: Please assign to ""IRIS-Pharmacy Central Non Prod"" ServiceNow Group"," IRIS TS02 environment, unable to add CCG Card through EBC","Payment"
"2025-02-05 16:01:53","INC41408717","Need Pharmacy Central Access for provided users - Pharmacist and OM lookup maintenance on Non prod- DV05","Need Pharmacy Central Access for provided users - Pharmacist and OM lookup maintenance on Non prod- DV05  Product entered by customer: ","Need Pharmacy Central Access for provided users - Pharmacist and OM lookup maintenance on Non prod- DV05","?"
"2025-02-05 16:02:29","INC41408733","Selected Issue: IRIS","System rebooted from a download of Infopath and had trouble getting IRIS and Genesys back up, want to make sure the update didnt affect anything","","Errors"
"2025-02-05 16:08:28","INC41408894","TX950 - cannot login to IRIS","Not able to login to IRIS able to do a password reset user mentioned that she had an access user stated that she was using her ms id and password","","Password, User Login"
"2025-02-05 16:36:45","INC41410011","IRIS (Integrated Rx Information System)","IRIS issue REMS orders not falling in RPh queue","IRIS issue REMS orders not falling in RPh queue","Order Issue"
"2025-02-05 16:36:47","INC41410013","IRIS screen turned black, lost signal, dropped calls","IRIS screen turned black, lost signal, dropped calls ","","Latency"
"2025-02-05 16:46:09","INC41410359","CH -ORDERS NOT CLOSED IN IRIS","CH ORDERS NOT CLOSED IN IRIS  Product entered by customer: PCS, WMS, IRIS","","Order Issue"
"2025-02-05 16:53:09","INC41410581","CH -ORDERS NOT CLOSED IN IRIS","CH ORDERS NOT CLOSED IN IRIS  Product entered by customer: IRIS, PCS, WMS","","Order Issue"
"2025-02-05 16:54:06","INC41410625","IRIS (Integrated Rx Information System) - Unable to Login","reset iris password","Unable to Login","Password, User Login"
"2025-02-05 17:12:21","INC41411254","Self Service Ticket","INC NUMBER ONLY. IRIS was not allowing me to create accounts after multiple attempts to restart the program. Restarted system and cleared cache.  Product entered by customer: ","","Crash"
"2025-02-05 17:19:28","INC41411502","IRIS  -  Need access ","Thanks. I need access to the IRIS stage and dev testing environments.","Need access","User Login, User Request"
"2025-02-05 17:31:45","INC41411875","Need HASH value cleared for ERx attached to wrong patient","Please clear the HASH value for INCORRECT account -  #411174049  CORRECT account #474887391","","?"
"2025-02-05 17:39:25","INC41412026","Need HASH value cleared for ERx attached to wrong patient","Please clear the HASH value for INCORRECT account -  #473662522  CORRECT account #474888135","","?"
"2025-02-05 17:47:28","INC41412363","Selected Issue: Other","After an IT Specialist fixed my Genesys softphone I began to have an issue where the font of all my applications looks blurry. ","","?"
"2025-02-05 17:53:00","INC41412513","Credit as Order Payment"" is not being released back once the order is cancelled","Requesting for research to be done to see if there is a possible break. When an order is canceled the credit that was being applied to the order as ""Credit as Order Payment"" is not being released back once the order is cancelled. The credit is still showing as applied with a Receipt Write Off ""Credit as Order Payment"" and does not allow the member to use the credit for future orders. Here are a couple receipt numbers:   211406274-4835 219812721-79 227935780-4614 207192290-7129 227559633-8402  and here are the corresponding order #s    774101602 776114947 779018506 779096161 779170379 ","Requesting for research to be done to see if there is a possible break.","Order Issue, Payment"
"2025-02-05 17:59:45","INC41412731","IRIS (Integrated Rx Information System) - Update address Tab in EBC IRIS TS02, not able to make update/edit","When accessing Address/Phone tab - Update address Tab in EBC IRIS TS02, not able to make update/edit  Product entered by customer: update address","","User Login"
"2025-02-05 18:24:05","INC41413486","Request for Help Desk support","need rx 448059836 unlocked","Need rx 448059836 unlocked","RX locked"
"2025-02-05 18:34:16","INC41413771","IRIS Freezing","Iris kicked me out and/or freezes while on calls. Blue circle spinning for long periods of time","","Latency"
"2025-02-05 18:38:26","INC41413899","IRIS - Clear Hash on Account","need hash clear for account 445857947 had info for previously non optum patient on account please route to msa oracle spt","need hash clear for account 445857947 had info for previously non optum patient on account please route to msa oracle spt","?"
"2025-02-05 18:45:25","INC41414137","IRIS (Integrated Rx Information System) - Ri want Access for IRIS in TS02 Environment","i want Access for IRIS in TS02 Environment","Request or Update Access to IRIS (Integrated Rx Information System)","User Request"
"2025-02-05 19:02:34","INC41414652","Order Lock issues from Pharmacy Central ","Please assign to ""IRIS-Pharmacy Central Non Prod"" ServiceNow Group-MSA ORACLE EBS (RXS) - SPT -  -- In PVSingle stage even after a successful rx unlock call(rxNumber 406809900) for of given procedure(procedureName:). rx still remains locked. while procedure response output is also empty. So, we have no idea what happened on the other side. and why rx is still locked. --","","Latency, RX locked"
"2025-02-05 19:03:00","INC41414666","IRIS - iris freezing a lot.","iris freezing a lot take long to finish my calls ","","Latency"
"2025-02-05 19:04:54","INC41414728","(OBO) - Selected Issue: IRIS","Agent returned from LOA. Secure request was sent to add access to IRIS, however, he still can't log in.","","User Login"
"2025-02-05 19:06:07","INC41414759","IRIS (Integrated Rx Information System) - shipped order with error","shipped order with error","shipped order with error","Order Issue"
"2025-02-05 19:13:23","INC41414963","I want to confirm the IRIS logic for rounding up pricing of medications. ","I want to confirm the IRIS logic for rounding up pricing of medications. We essentially were wondering if IRIS does any rounding of copay prices for patients at all. An example of this live is like with the OTC medication, Vitamin B-12. If you open the pricing information of this medication it has the Unit Price in our system as $0.0608 and when you go to a patient with it, you can see the price for 30 tablets in a typical package is $1.83 where if you actually multiply $0.0608 by 30 you get $1.824.    There seems to be times where slight rounding occur so we wanted to confirm if IRIS does any rounding and if so, what are the circumstances for it.","There seems to be times where slight rounding occur so we wanted to confirm if IRIS does any rounding and if so, what are the circumstances for it.","Alert"
"2025-02-05 19:18:48","INC41415140","Selected Issue: IRIS","Blue wheel keeps spinning when trying to update acct. force closed app & restarted, still happening","","Crash"
"2025-02-05 19:25:02","INC41415338","Selected Issue: Advocate Central","none of my procedure document are working keep getting error message ","","Errors"
"2025-02-05 19:29:20","INC41415483","Selected Issue: IRIS - cannot log in","cannot log in","","User Login"
"2025-02-05 20:01:05","INC41416470","IRIS (Integrated Rx Information System) - Unable to Login","IRIS unable to login "," Unable to Login","User Login"
"2025-02-05 20:06:12","INC41416630","Selected Issue: IRIS: NO RESPONSE","login error saying contact admin","","Latency, User Login"
"2025-02-05 20:08:13","INC41416534","Grant role - 'INFOADM_ORA_ROLE_NONPROD' for User ""Infoadm_ora"" for IRIS RXETS03 tables.","Can you please grant role - 'INFOADM_ORA_ROLE_NONPROD' for User ""Infoadm_ora"" for IRIS RXETS03 tables. Attached list. Please make sure it is granted for all schemas mentioned in the list?   FYI- User ""Infoadm_ora"" already has this role in other non-prod DBS like RXETS01    .","","Errors, User Request"
"2025-02-05 20:10:55","INC41416778","IRIS -  Prescription /order issue - Unable to disenroll rx from SMF","was told to call IT.  Having an issue with IRIS.  go patients account, not allowing to do manually but automatically, Charges the patients credit card automatically.  patient is not eligible for the program reason why the patient is being automatically.  ","patient is not eligible. ","Errors"
"2025-02-05 20:23:23","INC41417153","Selected Issue: both Advocate Central and Iris ","I am experiencing issue with both Advocate Central and Iris ","","?"
"2025-02-05 20:29:20","INC41417337","IRIS issue","I am unable to log in to IRIS. I am being prompted to change my password but every time I try it I get a system error. I am unable to change it or log in with my old one","","Password, User Login, Errors"
"2025-02-05 20:35:37","INC41417542","IRIS - pw reset ","I am trying to the password reset for IRIS","pw reset ","Password"
"2025-02-05 20:52:31","INC41418048","OP - IRIS orders not closed","OP - IRIS orders not closed Close out orders in iris 776743945-2 Tracking: 1ZC6R4820301019551  775454840-1 Tracking: Create Tracking  776997357-1 Tracking: Create Tracking  777355589-1 Tracking: Create Tracking  776868283-2 Tracking: Create Tracking  776862679-2 Tracking: Create Tracking  775644210-1 Tracking: Create Tracking  777788484-1 Tracking: Create Tracking  778202948-1 Tracking: Create Tracking","","Order Issue"
"2025-02-05 21:07:29","INC41418501","IRIS - Clear Hash on Account","need hash clears for iris accounts 93759480 and 455246370 per sup request route to msa oracle spt","need hash clears for iris accounts 93759480 and 455246370 per sup request route to msa oracle spt","User Login"
"2025-02-05 21:11:37","INC41418611","Request for Help Desk support","need rx 456886898 unlocked route to msa oracle spt","","?"
"2025-02-05 21:11:51","INC41418620","IRIS (Integrated Rx Information System) - Unable to Login","IRIS unable login ","Unable to Login","User Login"
"2025-02-05 21:20:13","INC41418875","FLW ||  IRIS - unable to login","My MS ID I reset it however when I tried to login it would not let me login","unable to login","User Login"
"2025-02-05 21:35:33","INC41419278","IRIS (Integrated Rx Information System) - Unable to Login to account","I am trying to login to my IRIS production and I forgot my password","Unable to login to IRIS","Password, User Login"
"2025-02-05 21:39:53","INC41419326","release  CANCEL REQUEST HOLD order 779999494","Hi, Please  release  CANCEL REQUEST HOLD order 779999494  in cancelled status","","Order Issue"
"2025-02-05 21:47:45","INC41419568","IRIS (Integrated Rx Information System) - When in IRIS TS02, having latency issue.","When in IRIS TS02, having latency issue.  Product entered by customer: Latency in TS02","When in IRIS TS02, having latency issue.","Latency"
"2025-02-05 21:48:17","INC41419584","IRIS (Integrated Rx Information System) - Unable to Login","I need to reset my IRIS TS02 access  Responsibilities: AR Interface Processor, AR Manager, AR Supervisor, CAG Maintenance, INV Super User, OM Super User, ORx CS Navigator Rep, Pharmacist, Receivables Manager, Specialty RCV Front End  Product entered by customer: IRIS TS02","","User Login, User Request"
"2025-02-05 21:54:53","INC41419726","IRIS - Password reset","I want to reset my IRIS password.","Unable to access","Launch Issues, Password"
"2025-02-05 21:57:25","INC41419794","IRIS-  Unable to Login","unable to login to Iris","","User Login"
"2025-02-05 22:05:03","INC41419964","IRIS (Integrated Rx Information System) - unable to use Universal Search Member feature","IRIS is not allowing me to use the Universal Search Memeber feature","unable to use Universal Search Member feature","?"
"2025-02-05 22:14:47","INC41420158","Selected Issue: IRIS","iris freezing up / restarting system, issue resolved just need ticket number to report. do not need to be contacted ","","Latency, Crash"
"2025-02-05 22:17:48","INC41420217","IRIS - need to raise access for IRIS TS02","need to raise access for IRIS TS02","Information not provided at time of submission ","?"
"2025-02-05 22:20:08","INC41420275","IRIS - Unable to send a newRx request","	“Please assign to IRIS-Pharmacy Central Non Prod” Unable to send a newRx request as an eRx request - error message - 900 - Transaction rejected - do not retry (  900 - )  Product entered by customer: 	“Please assign to IRIS-Pharmacy Central Non Prod” NON-PROD Iris environment TS02 - SureScripts Testing environment","Unable to send a newRx request","Alert"
"2025-02-05 22:25:27","INC41420387","IRIS   - Tracking Issues  ","Could someone please assign this tracking for this OSP order? 776560900-2 SHIPPING VIA UPS NDA WITH TRACKING 1ZC6J2660100358802","","?"
"2025-02-05 22:43:36","INC41420762","ORX PCS - close in IRIS","Assign ticket to ORX PCS IT - SP please close in IRIS  774497057-1 776437063-1 776684282-1 776834066-1 777226350-2  Product entered by customer: "," close in IRIS","Crash"
"2025-02-06 02:00:04","INC41422616","File Not moving in Azure :: WIP/CEP2_FL_IRIS_DONT_CALL_AND_EMAIL_AZ_0.1","Incident has been created as below files are not moved from respective paths for mentioned hours from Azure. FileName : CEP2_DNC_20250205.txt.camelLock, FilePath : /mnt/cep2azure/CEP_AZURE_SOURCE_DATA/PRD/WIP/CEP2_FL_IRIS_DONT_CALL_AND_EMAIL_AZ_0.1/CEP2_DNC_20250205.txt.camelLock, Hours : 6.  FileName : CEP2_DNE_20250205.txt, FilePath : /mnt/cep2azure/CEP_AZURE_SOURCE_DATA/PRD/WIP/CEP2_FL_IRIS_DONT_CALL_AND_EMAIL_AZ_0.1/CEP2_DNE_20250205.txt, Hours : 6.  Kindly check the file activity","","User Request, nonsense"
"2025-02-06 08:44:48","INC41424330","Request for Help Desk support","Need aceess for IRIS TS02","","?"
"2025-02-06 11:21:37","INC41425264","IRIS (Integrated Rx Information System) - Need an access of IRIS TS02 environment","Need an access of IRIS TS02 environment","Need an access of IRIS TS02 environment","?"
"2025-02-06 12:27:01","INC41425716","Erx records are stuck in phase 7 - ts09 ","Erx records are stuck in phase 7 - ts09 ","","?"
"2025-02-06 13:09:23","INC41426313","Request for Help Desk support","2+ days aged orders need to be cleared in WMS and Iris send orders to ORx_Dispensing_IT_Support <OptumRx_Dispensing_IT_Support_DL@ds.uhc.com>778145209 774064185 774064185 778737152 778932178 779383071","2+ days aged orders need to be cleared in WMS and Iris send orders to ORx_Dispensing_IT_Support ","?"
"2025-02-06 13:10:21","INC41426331","IRIS issue","Iris wont open up ","","Launch Issues, Errors"
"2025-02-06 13:12:09","INC41426369","CH -  Orders Not Closed In IRIS","CH Orders Not Closed In IRIS  Product entered by customer: IRIS","","Order Issue"
"2025-02-06 13:18:29","INC41426505","Selected Issue: IRIS","login error","","User Login"
"2025-02-06 13:34:28","INC41426897","FLW - IRIS (Integrated Rx Information System) - Not responding","My IRIS is froze - I can't do anything with it","Not responding","Latency"
"2025-02-06 13:54:14","INC41427520","IRIS (Integrated Rx Information System) -In OPEx-Specialty a work item was submitted two times. ","In OPEx-Specialty a work item was submitted two times. The user received a successful message both times but it remained on the 'Current Tasks' tab and did not save to the 'Program History' tab. This ticket should be routed to Assignment Group: Optum Therapy Management Platform APP","In OPEx-Specialty a work item was submitted two times. The user received a successful message both times but it remained on the 'Current Tasks' tab and did not save to the 'Program History' tab. This ticket should be routed to Assignment Group: Optum Therapy Management Platform APP","?"
"2025-02-06 14:07:47","INC41427971","IRIS (Integrated Rx Information System) - Unable to Login","Iris Password reset","","Password, User Login"
"2025-02-06 14:11:36","INC41428114","IRIS skill set table is allowing already pved/ineligible orders to pair to queues in PC and IRIS","IRIS skill set table is allowing already pved/ineligible orders to pair to queues in PC and IRIS. See attachments.  Note per PC and workbench team, this is an issue with the iris skill set table and not air specifically so please do not route to air team. Please route to SOS- Systems Operations Solutions (ORx)","","?"
"2025-02-06 14:34:16","INC41428687","Capital RX concurrent run ","please run attached file through capital rx concurrent program ","","?"
"2025-02-06 14:38:41","INC41429001","IRIS Front-End Read-Only access for onshore team ","Need a new role created that mirrors role OM Inquiry but it needs to be a read only role.  this has been approved my Christine ","","?"
"2025-02-06 14:49:16","INC41429323","Capital  rx suffix Data fix ","please run the capital rx suffix data fix ","","Data Fix"
"2025-02-06 14:53:26","INC41429519","SA - Orders Open in IRIS","ORX PCS SA -SPT  Product entered by customer:  Order number: 779002098-1 Tracking number: 9234690350467932258245","","Order Issue"
"2025-02-06 14:59:15","INC41429686","Selected Issue: IRIS","I am not able to pull up the formulary in the Pharmacy Portal. I get an error saying ""something is wrong"".Note: As per Sup. a ticket needs to be assigned to the workgroup ORX Pharmacy Help Desk – SPTORX PHARMACY HELP DESK - SPT","","Errors"
"2025-02-06 15:11:46","INC41430156","IRIS (Integrated Rx Information System) - Unable to Login","Yes, I can't get into my Citrix and also I can't get into my Iris, but they've activated it.","Unable to Login","User Login, User Request"
"2025-02-06 15:20:03","INC41430448","IRIS (Integrated Rx Information System) - Unable to Login","i cant log in to my iris","Validate your credentials ","User Login"
"2025-02-06 15:48:04","INC41431230","Update IRIS record ","Please update the member name in IRIS . As per Rxclaim and MDM the member name does not have teh Jr as suffix   member id : 001068182 Patient id:  130175871  First name: DAVID Last name : ESPINOSA  Also please review teh member details and make sure no duplicate patient id nor there is any coverage issues for this member  ","","?"
"2025-02-06 15:56:40","INC41431685","PCS: Advocate Central issue with duplicating accounts. Cathy states this keeps happening to her. It looks to duplicate members info whenever she switches over to IRIS and back in adv central and will swipe off all her notes"," Advocate Central issue with duplicating accounts. Cathy states this keeps happening to her. It looks to duplicate members info whenever she switches over to IRIS and back in adv central and will swipe off all her notes","","?"
"2025-02-06 15:59:16","INC41431773","IRIS (Integrated Rx Information System) - slowness/not responding","I was calling because I'm having issues with my Iris for some reason umm, it's been going on a couple of days now. It's either when I log in, it either gives me like weird like screen that pops up or like sometimes it pauses and freezes or it just doesn't. You can't like copy and paste or anything like that. It gives you like all these weird messages about the connection and everything like that. So I'm not sure what's going on with it. My supervisor told me to reach out to IT to see if I can assist.","slowness/not responding","Latency, User Login"
"2025-02-06 16:17:53","INC41432449","(OBO) - Selected Issue: Other - Advocate Central issue with duplicating accounts. Cathy states this keeps happening to her. It looks to duplicate members info whenever she switches over to IRIS and back in adv central and will swipe off all her notes","Advocate Central issue with duplicating accounts. Cathy states this keeps happening to her. It looks to duplicate members info whenever she switches over to IRIS and back in adv central and will swipe off all her notes","","User Request"
"2025-02-06 16:51:56","INC41433629","IRIS (Integrated Rx Information System) - launch issues","launch issues","launch issues","Launch Issues"
"2025-02-06 16:59:07","INC41433880","RG - Orders Open in IRIS","I need order #778876752-1 closed out in IRIS.  This order shipped. Please assign to @ORx_Dispensing_IT_Support. 776014908-1","","Order Issue"
"2025-02-06 17:09:15","INC41434208","Need to verify the status of the API from IRIS to SFMC for alert 26 and alert 27 email","Need to verify the status of the API from IRIS to SFMC for alert 26 and alert 27 emails.. SFMC is stating they have no record of receiving the payloads","","Alert"
"2025-02-06 17:09:55","INC41434233","IRIS/VPN dropped","Having a diff issue with each acct but tabs im clicking have been delayed,Freezes when in Sp info tab & last account accessed i was unable to create a delset note.Issues are resolved in the acct after i force close in task manager & relaunch.Then another issue & delays occur shortly after","","Latency"
"2025-02-06 17:11:36","INC41434190","TX950 - advocate central: Cannot login and asking for pin","computer did an update.  cannot login to the advocate central and asking for PIN  ","","User Login"
"2025-02-06 17:25:23","INC41434754","RG - Orders Open in IRIS","Assign the ticket to @ORx_Dispensing_IT_Support: order 778572104-1 shipped but did not close-please close in system","","Order Issue"
"2025-02-06 17:48:37","INC41435446","CA950-Unable to login to iris","CA950-Unable to login to iris","","User Login"
"2025-02-06 17:54:22","INC41435628","Windows - Frequent locked out","msid hhoang is still getting kicked out of iris image viewer multiple times a day. See previous tickets INC40720871 INC36864225, INC33510057 route to TS DS IMG (RXS) - SPT and assign to BULAGAKULA SRIHARI who had worked on the previous ticket on this issue for user.","msid hhoang is still getting kicked out of iris image viewer multiple times a day. See previous tickets INC40720871 INC36864225, INC33510057 route to TS DS IMG (RXS) - SPT and assign to BULAGAKULA SRIHARI who had worked on the previous ticket on this issue for user.","User Request"
"2025-02-06 18:01:49","INC41435639","Personal Communications 15.0.2.0 Install (REBOOT) *WARN*   -- An existing connection was forcibly closed by the remote host. ","Personal Communications 15.0.2.0 Install (REBOOT) *WARN*   -- An existing connection was forcibly closed by the remote host. ","An existing connection was forcibly closed by the remote host. ","Alert"
"2025-02-06 18:10:17","INC41436087","IRIS (Integrated Rx Information System) - needs to reset the password for IRIS account","I need to reset the password for my iris account.","needs to reset the password for IRIS account","Password"
"2025-02-06 18:12:13","INC41436140","IRIS (Integrated Rx Information System) - Unable to Login","We're returning back on using the IRIS app, and we set to get the reset, but we did not hear anything for the password or the reset. They already process the access request, but I did not get any email or information about it.","Unable to login IRIS","Password, User Login"
"2025-02-06 18:21:08","INC41436382","Request for Help Desk support","doc id 1274005861 doc set id 6595983930 doc id 1274005744 doc set id 6581127860 doc id 1274005924 doc set id 6509839410 doc id 1274004100 doc set id 6569149840 doc id 1274004228 doc set id 6520470060 merge to doc set id 6518574860","","?"
"2025-02-06 18:37:39","INC41436854","Genesys Workspace (WWE) - Gen and Iris being slow and loosing connection Iris keeps freezing on me and gen keeps having issues","Gen and Iris being slow and loosing connection Iris keeps freezing on me and gen keeps having issues","Gen and Iris being slow and loosing connection Iris keeps freezing on me and gen keeps having issues","Latency, Errors"
"2025-02-06 18:48:12","INC41437109","Request for Help Desk support","unlock rx 457207037 and order 780176144","","RX locked"
"2025-02-06 18:48:54","INC41437131","Selected Issue: IRIS","Iris is non responsive","","Latency"
"2025-02-06 18:54:30","INC41437282","IRIS (Integrated Rx Information System) - Launch Issues","IRIS SYSTEM NOT STARTING UP...SPINNING.","Launch Issues","Launch Issues, Latency"
"2025-02-06 19:08:21","INC41437675","OP - IRIS order not closed","OP - iIRIS order not closed. Order number 779853811-2 and tracking # 744215761718  Product entered by customer: ","","Order Issue"
"2025-02-06 19:16:20","INC41437908","FLW IRIS (Integrated Rx Information System) - Unable to Login","IRIS asking to change password, and not letting change my password ","Unable to login","Password, User Login"
"2025-02-06 19:22:03","INC41438082","IRIS (Integrated Rx Information System) - Unable to Login","cannot log in to the IRIS App","log in failed contact administrator","User Login"
"2025-02-06 19:41:48","INC41438617","IRIS (Integrated Rx Information System) - Unable to Login","I can't login to my IRIS","user already reset the password but it didn't work","Password, User Login"
"2025-02-06 19:56:05","INC41438951","IRIS (Integrated Rx Information System) - unable to login","need username and new password to access iris","unable to login","Password, User Login"
"2025-02-06 20:26:30","INC41439788","Self Service Ticket","IRIS System Administrators please kill all sessions for rx# 456786919 or# 778901136  Assign to Rebecca Lever MSA ORACLE EBS (RXS) – SPT  Product entered by customer: ","","User Request"
"2025-02-06 20:38:34","INC41439998","DocSet Merged  for Order   780542832","Hi, Please  help a docset merged Image  Doc ID    1277154722                 Image DocSet ID   7703388467 Image  Doc ID    1277154724            Image DocSet ID    7703388466 Image  Doc ID    1277154730                 Image DocSet ID     7703388463 Image  Doc ID  1277154716           Image DocSet ID    7703388464 Image  Doc ID    1277154719              Image DocSet ID   7703388465 Image  Doc ID  1277154718                  Image DocSet ID    7703388461 Image  Doc ID  1277154732                   Image DocSet ID    7703388462 need to be changed to  Header DocSetID    7703388468","","User Request"
"2025-02-06 20:39:46","INC41440114","there is a few orders stuck in camunda. please assign it to group-HDP-GROWTH-IBT-CAMUNDA-SPT","there is a few orders stuck in camunda. please assign it to group-HDP-GROWTH-IBT-CAMUNDA-SPT","","Order Issue"
"2025-02-06 20:52:08","INC41440461","IRIS (Integrated Rx Information System) - Unable to login","I'm trying to login to my Iris, when I typed it in it's not doing anything","Unable to login to Iris","User Login"
"2025-02-06 21:09:03","INC41440806","Needing a report for when adjudication brings back Approved Message Code 056 and there is a LikelytoBenefit PicktoLight document type","Opening this ticket as requested on the IRIS bridge. I am looking to have way to see when any IRIS billing / adjudication returns the Approved Message Code of '056' and to have insight into whether a 'LikelytoBenefit' document type was sent down in the DOMs payload.   This will allow for us to monitor and check out a production defect after the 02/06 IRIS release.  ","","?"
"2025-02-06 21:31:37","INC41441445","Rx is locked","locked","","RX locked"
"2025-02-06 21:39:13","INC41441643","DOMS Staging tables are not being populated in IRIS Production","why are the tables xxiris_doms_new_order and xxiris_doms_msg_documents not being populated in IRIS Production","","?"
"2025-02-06 22:14:16","INC41442445","IRIS (Integrated Rx Information System) - IRISADMIN possibly booked eRx for incorrect patient","IRISADMIN possibly booked eRx for incorrect patient?","IRISADMIN possibly booked eRx for incorrect patient?","?"
"2025-02-06 22:21:42","INC41442574","Request for Help Desk support","unlock rx 454634689","","RX locked"
"2025-02-06 22:33:11","INC41442792","Need a Report for the Attached List of Rx Numbers","A report of for the 455 RX numbers showing the Date Discontinued and Date Last Filled fields in IRIS. Also Indicate if the last filled date was after the DC Date. ","","?"
"2025-02-06 23:18:33","INC41443493"," IRIS TS02 Access","See attached document of users","","?"
"2025-02-06 23:25:12","INC41443559","IRIS (Integrated Rx Information System)","The following orders wont pick release  773351410 - Closed 775188555  Assign to Rebecca Lever  Product entered by customer: ","The following orders wont pick release  773351410 775188555","Order Issue"
"2025-02-06 23:38:09","INC41443673","Prod Cayman : pv-rx-history-v1.0  : 500 failures","Cayman_Application_Critical_Alert_Prod Every in the cayman alert, we are receiving the below failures for pv-rx-hitory-v1.0 . Triaging whether they really fall under 500 category or other category.   		Request processing failed: java.lang.NullPointerException: Cannot invoke ""orx.iris.util.event.Event.setData(java.util.Map)"" because ""event"" is null 		Request processing failed: java.lang.NullPointerException","","Errors"
"2025-02-07 00:46:05","INC41444312","Optum Rx BAT Audit Automation - General Information and Troubleshooting","Member is trying to access online account thru the website and in the app but is not able to, I recommended to send a ticket so this can b e resolved.  Product entered by customer: ","Member is trying to access online account thru the website and in the app but is not able to, I recommended to send a ticket so this can b e resolved.  Product entered by customer: ","User Login, Errors"
"2025-02-07 00:47:49","INC41444324","TS01 and TS04 Access request","Please assign to the Lower Environment Issue Escalation team. I am requesting access to TS01 and TS04 for testing purposes of Rx automations. See attached file for user info.","","?"
"2025-02-07 03:19:15","INC41445094","splunk for iris-member-communication-alerts-outbound-v1.0 for pip consent","Saxena, Sushil 12:52 PM  Hi Team   I need splunk for iris-member-communication-alerts-outbound-v1.0 for pip consent  https://phi-splunk.optum.com/en-US/app/search/search?earliest=1736402400&latest=1736575200&q=search%20pollysnookie191%40yahoo.com&display.page.search.mode=smart&dispatch.sample_ratio=1&sid=1738946915.823327_24A40D22-CF4F-4523-BA98-F0E184EFA417   ","","?"
